drug,ALogP,ALogp2,AMR,apol,nA,nF,nE,nG,nP,nS,naAromAtom,nAromBond,nAtom,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,BCUTw.1l,BCUTw.1h,BCUTc.1l,BCUTc.1h,BCUTp.1l,BCUTp.1h,bpol,nB,PPSA.1,PPSA.2,PPSA.3,PNSA.1,PNSA.2,PNSA.3,DPSA.1,DPSA.2,DPSA.3,FPSA.1,FPSA.2,FPSA.3,FNSA.1,FNSA.2,FNSA.3,WPSA.1,WPSA.2,WPSA.3,WNSA.1,WNSA.2,WNSA.3,RPCG,RNCG,RPCS,RNCS,THSA,TPSA,RHSA,RPSA,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,SCH.3,SCH.4,SCH.5,SCH.6,SCH.7,VCH.3,VCH.4,VCH.5,VCH.6,VCH.7,SC.3,SC.4,SC.5,SC.6,VC.3,VC.4,VC.5,VC.6,SPC.4,SPC.5,SPC.6,VPC.4,VPC.5,VPC.6,SP.0,SP.1,SP.2,SP.3,SP.4,SP.5,SP.6,SP.7,VP.0,VP.1,VP.2,VP.3,VP.4,VP.5,VP.6,VP.7,ECCEN,FMF,fragC,GRAV.1,GRAV.2,GRAV.3,GRAVH.1,GRAVH.2,GRAVH.3,GRAV.4,GRAV.5,GRAV.6,nHBAcc,nHBDon,HybRatio,Kier1,Kier2,Kier3,khs.sCH3,khs.dCH2,khs.ssCH2,khs.tCH,khs.dsCH,khs.aaCH,khs.sssCH,khs.tsC,khs.dssC,khs.aasC,khs.aaaC,khs.ssssC,khs.sNH2,khs.dNH,khs.ssNH,khs.aaNH,khs.tN,khs.dsN,khs.aaN,khs.sssN,khs.ddsN,khs.aasN,khs.sOH,khs.dO,khs.ssO,khs.aaO,khs.sF,khs.dsssP,khs.dS,khs.ssS,khs.aaS,khs.dssS,khs.ddssS,khs.sCl,khs.sBr,khs.sI,nAtomLC,nAtomP,LOBMAX,LOBMIN,nAtomLAC,MDEC.11,MDEC.12,MDEC.13,MDEC.14,MDEC.22,MDEC.23,MDEC.24,MDEC.33,MDEC.34,MDEC.44,MDEO.11,MDEO.12,MDEO.22,MDEN.11,MDEN.12,MDEN.13,MDEN.22,MDEN.23,MDEN.33,MLogP,MOMI.X,MOMI.Y,MOMI.Z,MOMI.XY,MOMI.XZ,MOMI.YZ,MOMI.R,PetitjeanNumber,topoShape,geomShape,nRotB,LipinskiFailures,TopoPSA,VABC,VAdjMat,Wlambda1.unity,Wlambda2.unity,Wlambda3.unity,Wnu1.unity,Wnu2.unity,Weta1.unity,Weta2.unity,Weta3.unity,WT.unity,WA.unity,WV.unity,WK.unity,WD.unity,MW,WTPT.1,WTPT.2,WTPT.3,WTPT.4,WTPT.5,WPATH,WPOL,XLogP,Zagreb
NILOTINIB,5.0842,25.84908964,140.2522,74.122446,0,0,0,0,0,0,29,29,61,0.821938876,-0.567481855,0.284112691,-0.117946809,-0.074806234,46.80046356,47.57017631,73.06969153,68.9768072,66.69649591,2523.421877,2974.041368,4155.058514,4162.134387,3900.25624,11.85,19.00042053,-0.274783678,0.416851884,3.776854774,10.28519681,37.197554,43,426.7770499,1200.749377,25.46803034,315.6359775,-888.0508066,-49.42042777,111.1410723,2088.800183,74.8884581,0.574851241,1.617360327,0.034304396,0.425148759,-1.196168135,-0.066567296,316.8448416,891.4519801,18.9077975,234.3322616,-659.3004878,-36.69036939,0.148124228,0.097572677,0,2.823219211,620.9816356,121.4313918,0.836436879,0.163563121,0,0,5,14,4,3,0,0,0,0,0,0.11785113,0.507370681,0.607084617,0,0,0.033333333,0.139624389,0.147928013,3.678690917,0.288675135,0.835381629,0.144337567,1.127731406,0.013498731,0.140753072,0.004499577,6.672899967,9.167027707,12.98803075,1.94453605,2.25478861,2.561036231,27.57033885,18.65201825,18.02444977,14.15682948,11.47219,9.646276691,6.484404673,4.94073739,20.86111346,11.8130834,8.80465434,5.871916984,3.87410158,2.633878146,1.403730489,0.832100587,1254,0.524590164,2743.11,3585.108438,59.87577505,15.30502695,3815.230288,61.76755045,15.62572772,8879.755968,94.23245708,20.70778641,7,2,0.107142857,30.45754462,13.53329865,8.094674556,2,0,0,0,0,14,0,0,1,10,0,1,0,0,2,0,0,0,4,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,33,1.246177427,1.229088095,0,0.076923077,3.593589808,3.601540207,0.239045722,13.97101841,28.94175724,1.925894383,11.14242281,1.95202839,0,0,0,0,0,0,0,2.462815463,0.842266891,0,3.33,11405.15186,7596.975197,4633.328518,1.501275385,2.461546126,1.639636639,9.359567417,0.473684211,0.9,0.79492461,8,1,97.62,440.9850789,6.426264755,0.890204448,8.555343063,14.94141201,0.036503298,0.350816306,0.259996057,0.490570211,0.527710908,24.38695952,148.7458214,286.9266412,0.209510297,1.278277176,529.5168387,79.87622045,2.048108217,31.69984351,2.578918866,21.9567431,5525,61,4.928,210
DASATINIB,3.4807,12.11527249,130.8087,70.440618,0,0,0,0,0,0,17,17,59,0.733976868,-0.443627832,0.072750533,-0.046201269,0.12347867,50.90950313,44.61443593,66.62031798,67.08820151,63.98397992,2481.010941,2892.572715,3966.599962,3853.689099,3536.091629,11.85,34.96885441,-0.394510263,0.243783421,4.138931415,11.34073238,41.321382,36,537.7674239,1478.236668,32.69215967,264.2127118,-726.2785016,-43.89002904,273.5547121,2204.51517,76.5821887,0.670549556,1.84323352,0.040764301,0.329450444,-0.905606597,-0.054727077,431.2787916,1185.516444,26.21846265,211.8933465,-582.4609313,-35.19893145,0.088625693,0.143482072,0.066891805,5.083240898,671.927142,130.0529938,0.837835143,0.162164857,0,0,5,7,1,8,0,0,0,0,0,0.11785113,0.370790812,0.659049937,0,0,0.079056942,0.167546959,0.227252711,2.244237115,0,0.393634553,0,1.227441387,0,0.141952152,0,4.849521424,7.521266331,9.864575335,2.328363932,2.987334053,3.05740104,23.37166824,15.92305529,14.44503632,11.80978407,9.889699018,7.522933214,5.218400046,3.499823065,20.07956019,11.85306434,9.189264211,6.588407717,4.619262292,2.857210492,1.755802386,0.976877152,1026,0.440677966,2788.11,3046.351106,55.19375967,14.49639404,3321.139531,57.62932874,14.91977844,6984.485251,83.57323286,19.11516868,9,3,0.363636364,26.07407407,12.3008,7.03125,2,0,6,0,0,5,0,0,1,8,0,0,0,0,2,0,0,0,3,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,3,22,3.0455144,3.0455144,2,0.083333333,2.815194797,3.663162824,0,9.33244655,16.31888444,0,8.935564028,0,0,0.066666667,0,0,0,0,0,2.52015251,1.713904591,0.333333333,2.67,19275.22595,18998.38547,1268.131678,1.01457179,15.19970385,14.98139806,9.994615287,0.473684211,0.9,0.966283219,8,0,134.75,411.492024,6.169925001,1.293708945,2.449365192,43.79040249,0.027216796,0.051529267,0.265187365,0.241449891,0.581386443,47.53347662,167.0794886,353.3744888,0.440940453,1.088023699,488.0074042,67.33345412,2.0404077,33.00630306,5.006277209,22.34499443,3723,50,1.991,172
Imatinib,4.2205,17.81262025,146.6507,80.212583,0,0,0,0,0,0,24,24,68,0.621150388,-0.430084132,0.1338979,-0.00133302,0.062693234,40.29433114,43.99100291,60.45822348,60.51371296,53.87342138,2531.628622,2924.961446,3950.979758,3931.813154,3429.264675,11.85,15.99492553,-0.303644527,0.235471663,5.332966654,10.22362155,44.087417,41,615.4239291,1597.350064,34.35537869,191.8586014,-497.9743797,-25.21227247,423.5653277,2095.324444,59.56765116,0.762340204,1.978675376,0.042556822,0.237659796,-0.616852664,-0.031231039,496.8209869,1289.512802,27.73449704,154.8840973,-402.0060174,-20.35342712,0.090640166,0.116885544,0.342061318,0.719495757,714.7073218,92.57520877,0.885324895,0.114675105,0,0,4,13,4,6,0,0,0,0,0,0,0.420103454,0.579527065,0,0,0,0.143345905,0.196087872,2.243242903,0,0.319035594,0,1.131658921,0,0.080193586,0,4.869167472,6.944967266,9.655962476,2.01402434,2.264908571,2.645410484,25.61430893,18.03000978,16.19833647,13.45038977,10.81116371,9.213031444,5.804712326,4.286812497,21.18540367,12.4568735,9.392360223,6.572995264,4.277829725,3.136542116,1.593689183,0.938083846,1361,0.5,3852.08,3214.914871,56.70021932,14.75898504,3534.216875,59.44927985,15.23226192,7357.657361,85.77678801,19.44971251,8,2,0.24137931,28.52587745,14.0625,8.25550486,2,0,5,0,0,13,0,0,1,8,0,0,0,0,2,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,28,1.66588505,1.477736401,0,0.0625,4.405930162,2.439469212,0,22.29934236,28.36980602,0,8.143947815,0,0,0,0,0,0,0,0,2.387913016,0.758538389,0.333333333,3.77,14430.44935,12258.01765,3039.537935,1.177225369,4.747579947,4.032855623,10.17810663,0.5,1,0.964651495,8,0,86.28,456.2513044,6.357552005,1.327186624,6.283394251,28.19852057,0.03706283,0.175469196,0.380940461,0.385868629,0.587004539,35.80910144,222.9463582,493.9096002,0.340600981,1.353813629,493.6038318,76.47472175,2.066884372,24.73984103,2.574341714,22.16549931,5324,56,3.037,194
Bosutinib,4.8833,23.84661889,142.137,77.362997,0,0,0,0,0,0,16,17,65,0.924211774,-0.427563833,-0.192858945,0.048277477,0.222960704,55.54920843,46.72409441,66.29209153,78.80087244,75.41618356,2569.897073,3011.782703,4213.567089,4510.975905,3965.812012,11.85,34.96985574,-0.347329429,0.208927216,4.674064169,11.47989,44.891003,39,529.1100127,1443.683664,28.51949536,263.5073588,-718.9833121,-44.11599641,265.6026539,2162.666976,72.63549177,0.667547838,1.821413101,0.035981416,0.332452162,-0.907100119,-0.055658629,419.3817875,1144.288751,22.60504745,208.8605101,-569.878663,-34.96710512,0.057025008,0.127016564,0.460893416,1.758001742,693.9499683,98.66740324,0.875516981,0.124483019,1,0,1,12,2,6,1,0,0,0,0,0,0.25,0.638998415,0,0,0,0.107804097,0.22303803,2.236369328,0,0.510673913,0,1.229380285,0,0.154428577,0,5.57120926,8.352836017,12.05332595,2.43741116,3.010079649,3.550011382,25.65612529,17.42658525,15.23371607,13.19557743,10.59568635,8.904578916,6.485060399,4.469938938,22.11788491,12.43327869,9.431826303,6.855194333,4.657089783,3.275005472,1.937255591,1.050811576,1115,0.415384615,3364.1,3249.15749,57.00138147,14.81120027,3543.179275,59.52461066,15.24512685,8049.617856,89.71966259,20.04126302,5,1,0.4,28.99408284,13.87517147,7.358796296,3,0,7,0,0,5,0,1,0,8,2,0,0,0,1,0,1,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,4,22,1.607604297,1.607604297,3,0.220806614,5.100983666,4.120729447,0,14.04941979,23.72792544,0,13.59398753,0,0,0,0,0.464158883,0,0.5,0.149071198,0.25,0.386770628,0.333333333,3.22,13653.03109,11975.57533,3521.836162,1.140073084,3.876679795,3.400378318,9.939706248,0.473684211,0.9,0.759709467,9,1,82.88,461.5382538,6.285402219,2.058174525,5.065778827,21.76041433,0.071255655,0.17538133,0.370949316,0.477396107,0.673352949,28.88436768,165.4464336,421.210472,0.315022261,1.521698372,530.4470212,73.41465337,2.039295927,29.2504888,8.722062779,15.44019118,4488,60,3.635,186
PONATINIB,5.127,26.286129,145.894,78.116411,0,0,0,0,0,0,21,22,66,0.790200721,-0.474734332,-0.010501482,0.207605975,-0.297705802,46.44048326,47.59779274,72.32211449,69.36731233,64.72479904,2533.522075,2974.232328,4148.211014,4124.760234,3631.889629,11.85,19.00042036,-0.303637156,0.417099612,3.946524948,10.05758623,42.003589,43,554.1241261,1488.498304,31.25168327,307.6089465,-826.3047459,-41.37769423,246.5151796,2314.80305,72.6293775,0.643034536,1.727331063,0.036266083,0.356965464,-0.958887122,-0.048016834,477.5070857,1282.688217,26.93060905,265.0768026,-712.0541276,-35.65652758,0.155237117,0.112939339,0,0.655288607,785.6981528,76.0349198,0.911765114,0.088234886,0,2,4,10,5,7,0,0,0,0,0,0.096225045,0.506873575,0.823655471,0,0,0.028867513,0.161367899,0.239298411,3.621620577,0.288675135,0.78426398,0.11785113,1.29658066,0.013498731,0.146412975,0.003896748,6.657995032,9.8110027,13.42455345,2.343256616,2.723885705,3.134495356,27.57033885,18.668855,17.91992936,14.28865121,11.60348574,9.66995159,6.491786421,4.738864986,21.58724628,12.51027952,9.620033392,6.765780781,4.449942039,3.196330641,1.723178923,0.986698,1367,0.484848485,3418.1,3507.604546,59.2250331,15.19393304,3782.421498,61.50139428,15.58080795,8114.469769,90.08035173,20.09494008,6,1,0.296296296,30.45754462,13.53329865,7.891043102,2,0,5,0,0,10,0,2,1,7,1,1,0,0,1,0,0,0,2,2,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,26,2.816664223,2.816664223,2,0.0625,4.447206922,2.486295363,0.223606798,20.89308325,28.99456152,2.584709479,8.010738999,1.810525376,0,0,0,0,0,0,0,0.480749857,1.22365826,0.335651442,3.55,23927.28102,22983.16213,2248.21071,1.04107872,10.64281071,10.22286836,11.2572175,0.476190476,0.909090909,0.936246868,6,2,65.77,463.4572207,6.426264755,1.934355715,3.714572178,45.75758106,0.037628615,0.072258791,0.460492923,0.475325391,0.593461397,51.40650895,265.6665799,645.8552156,0.417584446,1.529279712,532.5605752,79.94823727,2.049954802,29.21433628,2.57708935,19.46027525,5771,62,5.195,210
AXITINIB,4.4929,20.18615041,114.7884,58.824274,0,0,0,0,0,0,21,22,46,0.319019763,-0.151096631,0.026175542,-0.063685273,0.020658231,36.34214328,36.02873429,51.22651372,53.00702129,49.11651982,2158.522663,2526.491238,3461.490332,3412.656583,2975.082687,11.85,31.97207239,-0.275042207,0.231945277,5.260314007,12.13318918,25.555726,31,411.5647383,745.5451993,26.99104828,260.716471,-472.285148,-29.65580364,150.8482673,1217.830347,56.64685193,0.612191346,1.108978191,0.04014845,0.387808654,-0.702511303,-0.044112201,276.6872399,501.2160282,18.14557458,175.2747844,-317.5084304,-19.93703953,0.127967525,0.151730349,0.024146437,5.556944967,619.0931457,53.18806356,0.920884203,0.079115797,0,0,2,17,2,0,0,0,0,0,0,0.096225045,0.457560933,0.594561948,0,0,0.02795085,0.125091531,0.170426471,1.416116078,0,0.30034919,0,0.787523549,0,0.105229661,0,3.659695523,5.921960667,7.550670076,1.653808639,2.301217603,2.643554241,19.34672421,13.74151474,11.85145399,10.3128341,8.486515297,6.761256815,4.470000937,3.36305319,16.03297385,9.622631178,7.196874392,5.315626493,3.838264955,2.699684882,1.631528459,1.056363454,746,0.52173913,1645.06,2550.717912,50.50463258,13.66325406,2740.315556,52.34802342,13.99373113,5507.772212,74.21436661,17.6600525,4,2,0.045454545,21.24037461,10.34693878,5.389030612,1,0,0,0,2,11,0,0,1,5,2,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,17,2.113112361,2.113112361,2,0,1.499371905,1.370519422,0,15.06399713,23.06294878,0,7.567904559,0,0,0,0,0,0,0,0,1.088307778,0,0,3.22,9432.763657,9177.639622,1126.208643,1.027798437,8.375680403,8.149146859,8.654795492,0.5,1,0.944545001,6,0,95.97,335.6910728,5.95419631,1.481964406,2.998200008,25.57470932,0.049308622,0.099757531,0.407506533,0.391568434,0.547979011,30.05487374,119.0221283,262.7112076,0.388200385,1.347053978,386.471426,57.88310954,2.067253912,17.69774423,2.494923265,12.03299701,2325,42,4.715,146
CABOZANTINIB,4.3428,18.85991184,132.559,73.150032,0,0,0,0,0,0,22,23,61,0.898563564,-0.407861849,-0.002981673,-0.212786623,0.140828506,43.45433022,45.23561253,63.08705059,71.743968,62.41373036,2341.168638,2786.245947,3772.201872,3986.806671,3452.239265,11.85,18.99840953,-0.346946212,0.257067559,4.009700862,10.28131165,37.743968,41,532.6006821,1512.558777,31.03310731,289.2919478,-821.5743794,-45.54602212,243.3087343,2334.133157,76.57912943,0.648017348,1.840336222,0.037758104,0.351982652,-0.999612783,-0.055416025,437.7405753,1243.160911,25.50588218,237.7669198,-675.2459273,-37.4339399,0.077200783,0.121823121,0.043701489,1.536937192,662.6723045,159.2203254,0.806276003,0.193723997,0,0,3,19,1,0,2,0,1,0.25,0.288675135,0,0.408114734,0.838891538,0.25,0.25,0,0.157522789,0.213169117,2.636422686,0.083333333,0.756873575,0.11785113,1.140036097,0.0625,0.172732954,0.025515518,6.457745919,9.56089417,12.64362366,2.120825043,2.467055496,2.577867581,25.99298858,17.91218381,16.17799217,13.9085068,11.18539765,8.776538612,6.010700546,4.29724711,20.20883631,11.58857957,8.657116155,6.018239283,3.861668961,2.489977876,1.371714101,0.779433705,1304,0.491803279,2893.09,3387.053922,58.19840137,15.01783645,3637.235689,60.30949916,15.37884836,7679.102111,87.6304862,19.72892768,5,2,0.178571429,28.52587745,12.66877334,6.668162154,2,0,1,0,0,12,0,0,2,7,2,1,0,0,2,0,0,0,1,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,3,22,2.046710533,2.046710533,0,0.2,2.867119003,3.025816885,0.148249863,14.91925468,28.7556564,3.083206876,9.723304399,2.294163536,0,0.25,0.531745524,0.66943295,0,0,0,0.386401945,0,0,3.55,16714.96032,15298.7013,2657.8385,1.092573807,6.288930016,5.756068812,10.49966516,0.476190476,0.909090909,0.830936596,10,1,98.78,436.1967446,6.357552005,1.772773516,4.844626492,30.60565655,0.047625684,0.130151227,0.323047527,0.439760024,0.589036009,37.22305656,211.1182974,511.1957563,0.366667317,1.35184356,501.5067207,75.57952151,2.04268977,25.55697155,13.84471665,9.19528571,5173,62,4.582,200
CRIZOTINIB,3.694,13.645636,118.1117,62.848446,0,0,0,0,0,0,17,17,52,0.522408414,-0.183442777,-0.115247764,0.032142691,-0.104001779,49.5023145,39.83894611,59.65318419,69.4744613,71.06401214,2151.374145,2533.640225,3549.758504,3568.181078,3175.296209,11.85,34.96985522,-0.334590645,0.148662251,4.83289438,11.23636633,31.309554,33,431.2726035,936.7171186,25.2784418,241.6390842,-524.8361821,-39.2700549,189.6335193,1461.553301,64.5484967,0.640905206,1.392035739,0.037565764,0.359094794,-0.779948085,-0.058358408,290.2083755,630.3278971,17.01015893,162.6017639,-353.168401,-26.42527892,0.068208161,0.153979353,0.255261507,0.605151689,564.9427894,107.9688982,0.839549676,0.160450324,0,0,4,7,3,3,4,0,0,0,0,0.11785113,0.361741773,0.644838661,0,0,0.033333333,0.147547692,0.183189372,2.079703576,0,0.641885431,0,1.035882547,0,0.224879301,0,5.288613167,8.176905303,11.27999859,2.250986715,3.214425965,3.407034767,21.2503479,14.43556075,13.22316887,11.47065338,9.315404645,7.149306421,4.658991252,3.290572047,17.92021994,10.50146759,8.099675487,6.002843425,4.308163107,2.565725436,1.341993137,0.760930231,762,0.480769231,2155.09,2736.189546,52.30859916,13.98670429,2967.907482,54.47850477,14.37088298,6901.578824,83.07574149,19.03923455,4,2,0.333333333,23.16804408,10.29244002,5.333333333,1,0,4,0,0,6,2,0,0,8,0,0,1,0,1,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,3,13,1.486743985,1.407436582,2,0,1.427505306,2.905442262,0,8.925670006,20.20798289,0,12.31425147,0,0,0,0,0,0,0.559690172,0.142857143,0.493242415,1.10520945,0,2.78,7443.731169,6265.651083,2720.652392,1.188021974,2.736009639,2.302995819,8.385154365,0.466666667,0.875,0.824162065,5,0,77.99,368.8183536,6.044394119,1.261406637,4.698694012,16.18666762,0.056956691,0.21216161,0.325790326,0.41035464,0.58662131,22.14676827,102.401132,220.4856935,0.298161274,1.322766276,450.3373498,61.28773162,2.042924387,25.86336144,3.070854152,15.21342677,2633,49,4.827,160
FORETINIB,4.4371,19.68785641,164.7344,92.836962,0,0,0,0,0,0,22,23,80,1.240315835,-0.555026103,-0.193159141,-0.069223995,0.323585905,55.0908237,56.98012739,78.74544254,88.06635699,77.30750338,2862.204842,3380.362341,4544.319779,4798.101167,4249.254455,11.85,18.99941866,-0.378214631,0.220861876,4.009676922,10.27866615,53.775038,51,687.4320144,2516.644366,38.9807777,329.9721284,-1208.006727,-58.56896296,357.459886,3724.651093,97.54974066,0.675672513,2.47359359,0.038313956,0.324327487,-1.187342057,-0.057567058,699.3961793,2560.444404,39.65920471,335.7150104,-1229.031049,-59.58830555,0.059888399,0.103261086,0.022600913,2.411421969,811.4654957,205.938647,0.797584226,0.202415774,0,0,3,19,1,6,3,0,1,0.25,0.288675135,0,0.494884855,0.957475618,0.25,0.25,0,0.199444819,0.251156329,3.038791613,0.083333333,0.874724706,0.11785113,1.343588635,0.0625,0.185591567,0.025515518,7.376940451,10.88629375,14.48950286,2.520764355,2.965761262,3.060308057,32.09743659,22.3405055,20.0879269,17.00481325,13.74674839,10.79344891,7.449481056,5.308026149,25.31465987,15.10068889,11.22984404,7.847944541,5.15654985,3.361149583,1.830857305,1.075665898,2039,0.5,5155.12,4183.531923,64.68022822,16.11317148,4533.215522,67.32915804,16.55015717,9824.456453,99.11839614,21.41753625,7,2,0.323529412,35.81314879,16.80555556,9.224155125,1,0,8,0,0,11,0,0,2,8,2,1,0,0,2,0,0,0,1,1,0,0,0,2,4,0,2,0,0,0,0,0,0,0,0,0,4,22,2.210362694,2.210362694,3,0,2.241865515,1.683853876,0.076923077,0,34.78669122,2.79428798,12.18844626,2.493998144,0,0.25,0.607187535,0.910480398,0,0,0,0.386401945,0.227934277,0,3.88,33911.02161,31578.31837,3896.537715,1.073870407,8.702859842,8.104199336,12.64965787,0.481481481,0.928571429,0.924774728,14,2,111.25,553.4707394,6.672425342,1.704040851,5.372098064,54.13118384,0.027840474,0.087768878,0.31557241,0.377626328,0.590728167,61.20732276,392.1940511,948.9330929,0.413292986,1.283926905,632.655055,94.3361374,2.050785596,34.84937606,17.15470585,12.60599938,9754,75,4.554,246
VANDETANIB,5.0874,25.88163876,118.6659,64.334032,0,0,0,0,0,0,16,17,54,0.669291771,-0.380773192,0.050378939,0.026196707,-0.192095101,77.74899421,42.05846588,62.1787971,66.07477446,62.07307182,2062.162383,2402.8917,3318.034919,3380.997745,2860.056761,11.85,78.91833754,-0.346289703,0.165737782,4.96730602,10.42417749,37.841968,33,473.6653529,1043.03786,27.25803544,246.2971089,-542.3601447,-34.40682981,227.3682441,1585.398005,61.66486526,0.657902846,1.448739226,0.037860356,0.342097154,-0.753317254,-0.047789755,341.0212736,750.9481054,19.6247623,177.3246728,-390.4789449,-24.7716259,0.064845819,0.157112656,0.536339466,1.659998714,617.7279928,102.234469,0.858000279,0.141999721,0,0,1,11,1,3,2,1,0,0,0,0,0.274971652,0.620717897,0,0,0,0.123873074,0.239186878,1.986592772,0,0.337267227,0,1.19225237,0,0.064408739,0,4.44820658,6.596276602,9.459203128,1.987221979,2.292437068,2.753591301,21.08721119,14.52920844,13.10926768,11.02806718,8.937061687,7.642689768,5.344784717,3.674195273,18.57704864,10.68689424,8.464991691,5.910866668,3.92388821,2.943689142,1.562813553,0.799970403,819,0.462962963,2379.08,2830.997025,53.20711442,14.14641749,3075.182772,55.45433051,14.54198339,6566.386881,81.03324553,18.72587654,4,1,0.363636364,23.16804408,10.74480151,5.88,2,0,5,0,0,6,1,0,0,6,2,0,0,0,1,0,0,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,2,19,2.50207698,2.456071577,0,0.1,3.492788515,2.603601082,0,10.23437352,22.23186044,0,9.647613274,0,0,0,0,0.333333333,0,0,0,1.190550789,0.29159403,0,3,15466.69392,14729.56419,1338.485882,1.050044232,11.55536575,11.00464666,9.445292205,0.470588235,0.888888889,0.884029232,6,0,59.51,372.7692881,6.044394119,1.069384002,2.970105455,25.96129101,0.035645206,0.09900094,0.336102706,0.428592701,0.524270052,30.00078047,108.0465446,220.505143,0.399015391,1.288965459,475.3543217,61.67726817,2.055908939,23.65949162,5.959054894,12.63514247,2677,48,4.136,158
