id1,id2,sign
1,154,1
2,528,1
3,451,1
4,140,-1
4,141,-1
5,277,1
5,564,1
5,566,1
6,254,-1
6,270,1
6,274,-1
6,281,1
6,283,-1
6,290,1
6,294,-1
6,301,1
6,303,1
7,154,1
7,244,-1
7,245,-1
7,246,-1
7,247,-1
7,248,-1
7,249,-1
7,250,-1
7,251,-1
7,252,-1
7,253,-1
7,254,-1
7,267,1
7,268,1
7,269,1
7,270,1
7,271,1
7,272,1
7,274,1
7,275,1
7,276,-1
7,277,1
7,280,1
7,283,1
7,284,1
7,287,1
7,291,1
7,297,1
7,300,1
7,304,1
7,306,1
7,307,1
7,310,1
7,312,1
7,313,1
7,314,-1
7,315,-1
7,316,-1
7,318,1
7,319,1
7,322,1
7,447,-1
7,448,-1
7,450,-1
7,453,-1
7,454,-1
7,456,-1
7,458,-1
7,460,-1
7,461,-1
7,462,-1
7,463,-1
7,464,-1
7,465,-1
7,466,-1
7,467,-1
7,468,-1
7,469,-1
7,470,-1
7,471,-1
7,472,-1
7,473,-1
7,474,-1
7,475,-1
7,476,-1
7,477,-1
7,478,-1
7,479,-1
7,480,-1
7,564,-1
8,154,1
8,579,1
9,108,1
9,109,1
9,111,1
9,114,1
9,115,-1
9,116,1
9,117,-1
9,120,-1
9,123,-1
9,126,-1
9,127,-1
9,129,1
9,131,1
9,132,-1
9,134,-1
9,135,1
10,154,1
10,447,1
10,530,1
10,536,1
10,566,1
10,573,1
10,574,-1
11,631,1
12,409,-1
13,529,1
14,231,-1
14,325,-1
14,326,-1
14,327,-1
14,329,-1
14,330,-1
14,331,-1
14,332,-1
14,333,-1
14,334,-1
14,335,-1
14,336,-1
14,338,-1
14,339,-1
14,340,-1
15,564,1
15,565,1
16,632,1
16,633,1
16,635,1
16,637,1
16,638,1
16,641,1
16,642,1
16,643,1
16,645,1
16,646,1
16,649,1
16,651,1
16,652,1
16,654,1
17,564,1
17,565,1
17,566,1
18,1,-1
18,2,-1
18,3,-1
18,4,-1
18,6,-1
18,10,-1
18,11,-1
18,14,-1
18,15,-1
18,22,-1
18,32,1
18,34,-1
18,35,-1
18,37,-1
18,46,-1
18,61,-1
18,68,-1
18,91,-1
18,579,-1
18,580,-1
19,389,1
20,579,1
20,580,1
21,346,-1
21,348,-1
21,351,-1
21,355,1
21,358,1
21,359,-1
22,448,1
22,525,-1
22,526,-1
23,482,-1
23,484,-1
23,485,-1
23,489,-1
23,491,-1
23,492,-1
23,496,-1
24,325,1
24,326,1
24,327,1
24,329,1
24,330,1
24,331,1
24,332,1
24,333,1
24,334,1
24,335,1
24,336,1
24,338,1
24,339,1
24,340,1
25,325,1
25,326,1
25,327,1
25,329,1
25,330,1
25,331,1
25,332,1
25,333,1
25,334,1
25,335,1
25,336,1
25,338,1
25,339,1
25,340,1
26,389,1
27,154,1
28,154,1
28,159,1
28,374,1
28,383,1
28,384,1
28,385,1
28,448,1
28,449,-1
28,453,-1
28,454,-1
28,456,-1
28,458,-1
28,485,1
28,486,-1
28,489,-1
28,492,-1
28,493,-1
28,494,-1
28,495,-1
28,498,-1
28,499,1
28,500,-1
28,501,-1
28,502,-1
28,503,-1
28,504,-1
28,505,-1
28,530,1
28,531,1
28,532,1
28,534,1
28,536,1
29,1,-1
29,2,-1
29,3,-1
29,4,-1
29,5,-1
29,6,-1
29,8,1
29,10,-1
29,11,-1
29,14,1
29,15,1
29,22,1
29,24,1
29,31,-1
29,32,1
29,33,-1
29,34,-1
29,35,-1
29,36,-1
29,37,-1
29,38,-1
29,39,-1
29,46,1
29,48,-1
29,61,1
29,63,1
29,68,1
29,80,-1
29,81,-1
29,83,-1
29,91,1
29,93,-1
29,95,-1
29,96,-1
29,97,-1
29,98,-1
29,99,-1
29,101,-1
29,102,1
29,254,-1
29,416,1
29,418,-1
29,432,1
29,434,1
30,108,1
30,110,-1
30,111,1
30,115,1
30,117,-1
30,118,-1
30,119,1
30,120,1
30,121,1
30,122,1
30,123,1
30,124,1
30,125,1
30,127,1
30,128,1
30,131,1
30,132,-1
30,134,-1
30,135,1
30,137,1
30,241,1
30,254,1
30,597,-1
31,351,1
32,283,1
32,448,1
32,655,-1
32,656,-1
33,32,-1
33,413,1
33,418,-1
33,513,1
33,514,1
33,519,1
33,579,-1
33,580,-1
33,587,1
33,596,1
33,597,-1
34,244,1
34,254,1
35,154,1
36,105,1
36,106,1
36,524,1
36,527,1
36,566,1
37,513,-1
37,514,-1
37,517,-1
37,519,-1
38,154,1
38,351,1
38,355,1
38,356,1
38,358,1
38,363,-1
39,108,-1
39,109,-1
39,111,-1
39,114,-1
39,115,-1
39,116,-1
39,117,-1
39,118,-1
39,119,-1
39,120,-1
39,121,1
39,123,1
39,125,1
39,126,1
39,127,1
39,131,-1
39,132,-1
39,133,-1
39,134,-1
39,135,-1
39,136,-1
39,137,1
39,597,-1
39,598,-1
39,599,-1
40,565,1
40,566,1
41,154,1
41,283,-1
41,384,1
41,487,1
41,490,-1
41,494,-1
41,498,-1
42,151,1
42,154,1
42,159,1
42,449,1
42,459,1
42,460,1
42,482,1
42,493,1
42,495,1
43,448,1
44,366,1
44,545,-1
44,546,-1
44,547,-1
44,548,-1
44,549,-1
44,551,-1
44,552,1
44,553,1
44,560,1
45,32,-1
45,108,-1
45,109,-1
45,111,-1
45,112,-1
45,113,-1
45,114,-1
45,115,-1
45,116,-1
45,117,-1
45,118,-1
45,119,-1
45,120,-1
45,121,-1
45,122,-1
45,123,-1
45,124,-1
45,125,-1
45,126,-1
45,127,-1
45,131,-1
45,132,1
45,135,-1
45,136,-1
45,137,-1
45,244,-1
45,447,-1
45,449,-1
45,507,-1
45,508,-1
45,509,-1
45,510,-1
45,511,-1
45,512,-1
45,513,-1
45,514,-1
45,515,1
45,516,1
45,517,-1
45,519,-1
45,520,1
45,597,-1
45,598,-1
45,599,-1
45,600,-1
45,601,-1
45,602,-1
45,603,-1
46,576,1
47,450,1
47,453,1
48,121,1
48,639,1
49,371,1
49,418,1
50,145,1
50,146,1
50,149,-1
50,150,1
50,151,1
50,154,-1
50,156,1
50,157,1
50,159,1
50,160,1
50,162,1
50,166,1
50,168,1
50,175,1
50,176,1
50,178,-1
50,180,-1
50,181,1
50,182,1
50,185,1
50,483,-1
50,497,-1
50,577,-1
51,244,1
52,154,1
52,448,1
52,530,1
52,566,1
53,571,-1
53,572,-1
54,1,-1
54,2,-1
54,3,-1
54,4,-1
54,5,-1
54,6,-1
54,8,1
54,11,1
54,15,1
54,22,1
54,28,1
54,31,1
54,32,-1
54,33,1
54,34,1
54,36,-1
54,37,-1
54,38,-1
54,39,-1
54,46,1
54,61,1
54,67,1
54,68,1
54,80,1
54,81,1
54,85,-1
54,91,-1
54,93,-1
54,94,-1
54,100,-1
54,102,1
54,103,1
54,104,1
54,146,-1
54,155,-1
54,161,-1
54,216,-1
54,217,-1
54,232,-1
54,233,-1
54,234,-1
54,235,-1
54,236,-1
54,237,-1
54,238,-1
54,266,-1
54,386,1
54,387,1
54,415,1
54,416,1
54,417,-1
54,418,-1
54,419,-1
54,420,-1
54,422,1
54,424,-1
54,426,1
54,429,1
54,431,1
54,432,1
54,434,1
54,442,1
54,444,1
54,452,-1
54,454,1
54,545,-1
54,550,-1
55,367,1
55,639,1
56,347,-1
56,348,1
56,351,1
56,352,-1
56,356,1
56,358,1
56,359,-1
56,362,1
57,389,1
58,351,1
58,356,1
58,365,1
59,530,1
60,129,1
60,154,1
60,631,1
60,639,1
61,390,-1
61,391,-1
61,392,1
62,154,1
62,159,1
62,161,1
63,130,1
63,542,-1
63,543,-1
63,544,-1
64,139,-1
65,376,1
65,377,1
66,639,1
67,154,1
67,161,-1
67,239,-1
67,240,-1
67,245,1
67,246,1
67,247,1
67,248,1
67,249,1
67,250,1
67,252,1
67,253,1
67,256,1
67,257,-1
67,258,1
67,259,1
67,260,1
67,261,1
67,262,-1
67,265,-1
67,447,-1
67,448,-1
67,449,-1
67,450,-1
67,452,-1
67,453,-1
67,454,-1
67,456,-1
67,460,-1
67,461,-1
67,462,-1
